City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
274,Bharwari,IN,25.55,81.5,89.4,60,99,11.25,overcast clouds
275,Vagur,FO,61.4732,-6.8119,50.65,84,100,20.24,overcast clouds
276,Manta,EC,-0.95,-80.7333,76.78,73,100,8.05,overcast clouds
277,Isangel,VU,-19.55,169.2667,75.43,88,89,10.0,overcast clouds
278,Sawakin,SD,19.1059,37.3321,92.66,44,85,6.98,overcast clouds
279,Bentiu,SS,9.2333,29.8333,72.86,94,99,3.8,moderate rain
280,Sept-Iles,CA,50.2001,-66.3821,70.05,72,19,8.01,few clouds
281,Laguna,US,38.421,-121.4238,90.97,48,0,5.75,clear sky
282,Cherskiy,RU,68.75,161.3,49.73,60,11,1.86,few clouds
283,Iquitos,PE,-3.7481,-73.2472,89.64,62,40,3.44,scattered clouds
284,Nyaunglebin,MM,17.95,96.7333,75.67,92,90,1.16,overcast clouds
285,Dudinka,RU,69.4058,86.1778,69.62,59,58,9.84,broken clouds
286,Ngunguru,NZ,-35.6167,174.5,57.11,78,100,21.61,heavy intensity rain
287,Chernigovka,RU,44.3389,132.5728,60.76,96,99,4.9,light rain
288,Tucurui,BR,-3.7661,-49.6725,91.69,36,70,4.81,broken clouds
289,Bhadrachalam,IN,17.6667,80.8833,75.43,94,100,3.56,light rain
290,Kaitangata,NZ,-46.2817,169.8464,33.71,90,5,3.31,clear sky
291,Mayumba,GA,-3.432,10.6554,69.73,87,66,5.57,broken clouds
292,Codrington,AU,-38.2667,141.9667,46.76,95,22,6.73,few clouds
293,Cayenne,GF,4.9333,-52.3333,87.84,5,75,8.05,broken clouds
294,Shar,KZ,49.5886,81.0453,67.44,45,6,7.83,clear sky
295,Susanville,US,40.4163,-120.653,82.11,20,0,5.75,clear sky
296,Sulina,RO,45.1559,29.6536,73.24,65,0,9.84,clear sky
297,Mountain Home,US,43.133,-115.6912,85.48,15,0,5.75,clear sky
298,Port Elizabeth,ZA,-33.918,25.5701,54.1,87,40,16.11,scattered clouds
299,Hoyanger,NO,61.2204,6.0749,65.66,80,99,6.85,overcast clouds
300,Banikoara,BJ,11.2985,2.4386,77.77,85,100,3.2,light rain
301,Chauny,FR,49.6151,3.2186,80.74,38,82,4.88,broken clouds
302,Zhezkazgan,KZ,47.8043,67.7144,79.34,25,80,15.99,broken clouds
303,Broome,US,42.2506,-75.833,93.47,41,0,11.5,clear sky
304,Turiacu,BR,-1.6633,-45.3717,81.97,73,100,5.28,overcast clouds
305,Saint-Joseph,RE,-21.3667,55.6167,68.38,82,61,13.49,light rain
306,Santa Cruz,BO,-17.8,-63.1667,87.26,51,75,23.02,broken clouds
307,Gobabis,NA,-22.45,18.9667,65.07,26,42,8.75,scattered clouds
